Geneid	Chr	Start	End	Strand	Length	NF54-24h_S6_L001.bam	NF54-24h_S8_L001.bam	PB58-24h-14_S2.bam	PB58-24h_S3_L001.bam
PF3D7_0517100	Pf3D7_05_v3	718425	719855	-	1431	29	21	30	41
PF3D7_1125200	Pf3D7_11_v3	989159	990301	-	1143	197	175	105	189
PF3D7_0520800	Pf3D7_05_v3	849862	856026	-	6165	191	121	130	127
PF3D7_1114800	Pf3D7_11_v3	558924	561032	-	2109	10	3	2	6
PF3D7_0805600	Pf3D7_08_v3	312034	312960	+	927	210	202	168	172
PF3D7_1242600	Pf3D7_12_v3	1800562	1802310	+	1749	79	119	94	159
PF3D7_0313500	Pf3D7_03_v3	548718	551453	+	2736	63	61	50	53
PF3D7_1320900	Pf3D7_13_v3	857147	857944	-	798	61	23	46	43
PF3D7_1209900	Pf3D7_12_v3	448772	451339	-	2568	59	19	24	53
PF3D7_1310700	Pf3D7_13_v3	468232	468663	-	432	29	10	44	13
PF3D7_1302400	Pf3D7_13_v3	129717	131086	-	1370	6	0	2	5
PF3D7_1300100	Pf3D7_13_v3	21364	28787	+	7424	15	7	8	11
PF3D7_1448000	Pf3D7_14_v3	1960033	1963962	-	3930	363	441	319	519
PF3D7_0614200	Pf3D7_06_v3	593172	595904	-	2733	48	18	33	15
PF3D7_1221900	Pf3D7_12_v3	872361	874940	-	2580	190	508	284	331
mal_mito_1	Pf_M76611	734	1521	-	788	8	5	19	3
PF3D7_0322900	Pf3D7_03_v3	965553	966502	-	950	3353	1958	2563	2130
PF3D7_0934100	Pf3D7_09_v3	1343385	1346555	+	3171	329	253	223	308
PF3D7_0918100	Pf3D7_09_v3	747173	748490	+	1318	151	65	191	81
PF3D7_1018100	Pf3D7_10_v3	720551	721399	+	849	1	1	3	1
PF3D7_1019400	Pf3D7_10_v3	786503	787008	+	506	1349	709	962	770
PF3D7_1211200	Pf3D7_12_v3	491893	497388	-	5496	124	122	102	134
PF3D7_0518300	Pf3D7_05_v3	759831	760998	-	1168	497	206	361	228
PF3D7_1023200	Pf3D7_10_v3	982231	983202	+	972	170	157	169	179
PF3D7_1222300	Pf3D7_12_v3	883567	886032	-	2466	2348	930	1785	1142
PF3D7_0518400	Pf3D7_05_v3	762103	762792	-	690	1	2	0	3
PF3D7_1009400	Pf3D7_10_v3	381361	382449	+	1089	98	56	42	51
PF3D7_0630000	Pf3D7_06_v3	1252052	1253985	-	1934	4	1	3	4
PF3D7_1320100	Pf3D7_13_v3	834180	835308	-	1129	18	2	17	5
PF3D7_1100700	Pf3D7_11_v3	56792	57840	+	1049	1	0	0	1
PF3D7_1302200	Pf3D7_13_v3	123726	124415	-	690	0	0	3	1
PF3D7_1221300	Pf3D7_12_v3	851012	854739	-	3728	47	7	49	16
PF3D7_0616800	Pf3D7_06_v3	695929	697494	+	1566	160	75	96	90
PF3D7_1429700	Pf3D7_14_v3	1168236	1169336	-	1101	208	102	238	143
PF3D7_1441700	Pf3D7_14_v3	1700674	1702050	+	1377	14	1	5	5
PF3D7_0415300	Pf3D7_04_v3	681810	685968	+	4159	911	554	574	606
PF3D7_0806800	Pf3D7_08_v3	363260	366421	-	3162	1120	857	859	955
PF3D7_1119300	Pf3D7_11_v3	724855	725739	-	885	274	117	187	144
PF3D7_0222900	Pf3D7_02_v3	901494	902853	+	1360	0	0	0	0
PF3D7_0105800	Pf3D7_01_v3	249231	252010	-	2780	197	18	111	84
PF3D7_0526600	Pf3D7_05_v3	1101203	1114777	+	13575	250	40	83	94
PF3D7_1423800	Pf3D7_14_v3	967563	972311	+	4749	247	394	372	444
PF3D7_0822100	Pf3D7_08_v3	981018	981722	-	705	67	56	43	73
PF3D7_0924100	Pf3D7_09_v3	977869	979965	-	2097	61	35	38	62
PF3D7_0918400	Pf3D7_09_v3	754297	760269	+	5973	23	3	15	13
PF3D7_1441000	Pf3D7_14_v3	1669980	1671650	-	1671	44	80	98	84
PF3D7_1015100	Pf3D7_10_v3	612685	613875	-	1191	75	39	42	75
PF3D7_0322400	Pf3D7_03_v3	942545	945301	+	2757	206	183	119	254
PF3D7_0507500	Pf3D7_05_v3	307490	309556	-	2067	64	18	74	50
PF3D7_0521100	Pf3D7_05_v3	861930	867583	-	5654	6	0	2	0
PF3D7_1254400	Pf3D7_12_v3	2214671	2216019	+	1349	2	0	0	1
PF3D7_1107400	Pf3D7_11_v3	317819	318871	-	1053	222	26	70	44
PF3D7_0810800	Pf3D7_08_v3	548200	550616	+	2417	776	1152	1029	1626
PF3D7_0830900	Pf3D7_08_v3	1317600	1318341	-	742	224	139	191	223
PF3D7_1438000	Pf3D7_14_v3	1536484	1538469	-	1986	899	766	819	977
PF3D7_0832100	Pf3D7_08_v3	1386625	1387882	-	1258	10	5	8	14
PF3D7_0937200	Pf3D7_09_v3	1471851	1472924	+	1074	23	23	15	43
PF3D7_1471800	Pf3D7_14_v3	2932023	2932787	+	765	17	14	37	20
PF3D7_1454200	Pf3D7_14_v3	2222490	2226704	-	4215	68	53	57	43
PF3D7_1348600	Pf3D7_13_v3	1953304	1954852	+	1549	9	0	8	4
PF3D7_1203700	Pf3D7_12_v3	187146	188842	-	1697	3496	1294	2284	1792
PF3D7_1247300	Pf3D7_12_v3	1952568	1954624	+	2057	63	69	81	71
PF3D7_0601300	Pf3D7_06_v3	48874	49722	-	849	0	0	0	0
PF3D7_1113100	Pf3D7_11_v3	511105	511761	-	657	702	558	732	588
PF3D7_0928800	Pf3D7_09_v3	1156247	1158709	+	2463	54	10	25	28
PF3D7_1033200	Pf3D7_10_v3	1335222	1336289	+	1068	868	772	533	819
PF3D7_0702500	Pf3D7_07_v3	104957	105989	-	1033	1250	1257	1211	966
PF3D7_1362200	Pf3D7_13_v3	2490386	2491837	-	1452	259	138	131	193
PF3D7_1113300	Pf3D7_11_v3	519189	520220	+	1032	97	19	45	30
PF3D7_1138500	Pf3D7_11_v3	1518464	1521238	+	2775	441	244	386	299
PF3D7_1421900	Pf3D7_14_v3	891140	891622	-	483	62	11	28	46
PF3D7_1421200	Pf3D7_14_v3	875687	876385	-	699	2365	1139	1452	1131
PF3D7_1443800	Pf3D7_14_v3	1794708	1795934	-	1227	109	66	52	78
PF3D7_0100200	Pf3D7_01_v3	38982	40207	-	1226	20	33	4	7
PF3D7_0406000	Pf3D7_04_v3	321019	322545	+	1527	179	154	182	182
PF3D7_1408300	Pf3D7_14_v3	312569	313296	+	728	0	2	3	10
PF3D7_0816300	Pf3D7_08_v3	751942	756173	-	4232	10	18	23	27
PF3D7_1352200	Pf3D7_13_v3	2080764	2083152	+	2389	278	369	335	402
PF3D7_1122100	Pf3D7_11_v3	840728	842450	-	1723	9	2	15	10
malmito_rna_SSUF	Pf_M76611	5447	5507	-	61	0	0	0	0
PF3D7_0508200	Pf3D7_05_v3	337426	339025	-	1600	58	12	48	47
PF3D7_1320200	Pf3D7_13_v3	836563	838446	+	1884	42	10	15	17
PF3D7_1121600	Pf3D7_11_v3	815386	816322	-	937	6746	2785	1836	2316
PF3D7_1231400	Pf3D7_12_v3	1290685	1297069	-	6385	18	19	32	38
PF3D7_1216500	Pf3D7_12_v3	657339	658004	-	666	170	25	167	148
PF3D7_0532100	Pf3D7_05_v3	1301224	1301769	+	546	14544	7707	3290	8149
PF3D7_1412500	Pf3D7_14_v3	507360	508868	+	1509	789	564	446	536
PF3D7_1322000	Pf3D7_13_v3	916360	918594	+	2235	76	1	20	17
PF3D7_1002900	Pf3D7_10_v3	138765	139853	+	1089	90	61	102	45
PF3D7_1001200	Pf3D7_10_v3	70547	70819	-	273	656	157	213	236
PF3D7_1308100	Pf3D7_13_v3	360169	360627	+	459	54	6	24	15
PF3D7_0806300	Pf3D7_08_v3	337902	343254	-	5353	6	3	15	5
PF3D7_1249300	Pf3D7_12_v3	2012643	2015726	+	3084	288	150	191	182
PF3D7_1027000	Pf3D7_10_v3	1126523	1131958	-	5436	16	12	27	38
PF3D7_0816000	Pf3D7_08_v3	746013	747488	-	1476	283	249	290	297
PF3D7_0318700	Pf3D7_03_v3	788453	788812	+	360	1	1	6	1
PF3D7_0104500	Pf3D7_01_v3	204622	205455	-	834	250	152	184	205
PF3D7_0910600	Pf3D7_09_v3	489467	490865	+	1399	49	26	25	27
PF3D7_1249600	Pf3D7_12_v3	2018995	2022007	-	3013	13	4	6	12
PF3D7_0402200	Pf3D7_04_v3	127712	134468	-	6757	25	15	42	28
PF3D7_0504700	Pf3D7_05_v3	180421	187470	+	7050	83	57	74	165
PF3D7_0305200	Pf3D7_03_v3	251242	254661	+	3420	228	381	264	473
PF3D7_0727800	Pf3D7_07_v3	1175944	1181700	+	5757	372	278	264	384
PF3D7_0607100	Pf3D7_06_v3	297941	301197	+	3257	3	1	6	8
PF3D7_1338100	Pf3D7_13_v3	1542080	1543981	+	1902	786	388	525	535
PF3D7_0502800	Pf3D7_05_v3	122449	122862	+	414	24	26	43	26
PF3D7_0705900	Pf3D7_07_v3	290100	291220	-	1121	165	58	109	68
PF3D7_1407200	Pf3D7_14_v3	261061	262099	-	1039	76	88	52	64
PF3D7_0524900	Pf3D7_05_v3	1027396	1030362	+	2967	360	332	288	403
PF3D7_1216400	Pf3D7_12_v3	653670	656435	+	2766	56	37	68	47
PF3D7_0308700	Pf3D7_03_v3	375806	377437	+	1632	5	1	9	8
PF3D7_1132400	Pf3D7_11_v3	1255286	1259671	-	4386	189	179	146	288
PF3D7_1241200	Pf3D7_12_v3	1748873	1756237	-	7365	196	186	127	232
PF3D7_0611100	Pf3D7_06_v3	466198	466449	-	252	4	0	2	1
PF3D7_1332000	Pf3D7_13_v3	1325913	1327532	-	1620	111	83	83	69
PF3D7_0531200	Pf3D7_05_v3	1279958	1280599	-	642	8	0	9	8
PF3D7_1124400	Pf3D7_11_v3	964675	965360	-	686	64	49	73	63
PF3D7_0804300	Pf3D7_08_v3	242103	244775	+	2673	96	94	54	97
PF3D7_0928000	Pf3D7_09_v3	1135545	1136391	+	847	86	34	62	38
PF3D7_0526800	Pf3D7_05_v3	1120704	1121810	-	1107	703	610	948	754
PF3D7_0617300	Pf3D7_06_v3	720535	721312	+	778	21	6	34	18
PF3D7_1445600	Pf3D7_14_v3	1871778	1874381	+	2604	562	552	699	727
PF3D7_0424700	Pf3D7_04_v3	1118430	1122414	+	3985	1073	1871	997	1399
PF3D7_0632700	Pf3D7_06_v3	1371501	1372861	+	1361	50	54	3	2
PF3D7_1131000	Pf3D7_11_v3	1194524	1195036	-	513	84	18	34	37
PF3D7_1461800	Pf3D7_14_v3	2504149	2512505	+	8357	99	34	159	163
PF3D7_1208800	Pf3D7_12_v3	405608	409150	-	3543	125	97	113	105
PF3D7_1442200	Pf3D7_14_v3	1708528	1711530	-	3003	123	23	58	121
PF3D7_1349400	Pf3D7_13_v3	1983823	1985011	+	1189	134	73	105	70
PF3D7_1039900	Pf3D7_10_v3	1596487	1597605	+	1119	1	7	2	23
PF3D7_1018600	Pf3D7_10_v3	737692	743406	-	5715	563	390	384	489
PF3D7_0111700	Pf3D7_01_v3	443585	443938	-	354	0	0	0	0
PF3D7_0727900	Pf3D7_07_v3	1184401	1190172	+	5772	27	23	30	14
PF3D7_API06700	Pf3D7_API_v3	31447	34138	+	2692	0	0	0	1
PF3D7_1002700	Pf3D7_10_v3	129276	132110	+	2835	44	34	42	33
PF3D7_1124600	Pf3D7_11_v3	970105	971376	-	1272	406	109	189	214
PF3D7_0701900	Pf3D7_07_v3	79890	82943	-	3054	10	25	45	21
PF3D7_1424700	Pf3D7_14_v3	981588	981671	+	84	0	0	0	2
PF3D7_0417600	Pf3D7_04_v3	780250	783246	-	2997	6	1	9	3
PF3D7_0903700	Pf3D7_09_v3	175542	177442	+	1901	310	27	41	42
PF3D7_1418100	Pf3D7_14_v3	762614	773407	-	10794	2	1	6	3
PF3D7_0628100	Pf3D7_06_v3	1122801	1153664	-	30864	63	10	54	29
PF3D7_1309300	Pf3D7_13_v3	427457	429643	-	2187	441	312	282	379
PF3D7_0710400	Pf3D7_07_v3	474623	475720	+	1098	21	35	29	38
PF3D7_0900700	Pf3D7_09_v3	49612	50971	-	1360	5	5	1	2
PF3D7_1474400	Pf3D7_14_v3	3044129	3055248	+	11120	24	9	32	38
PF3D7_1451200	Pf3D7_14_v3	2094340	2099736	-	5397	1780	1787	2387	1647
PF3D7_1455200	Pf3D7_14_v3	2255062	2256741	+	1680	152	2	32	26
PF3D7_1139500	Pf3D7_11_v3	1576132	1578978	-	2847	9	0	4	3
PF3D7_0703300	Pf3D7_07_v3	128540	128980	+	441	47	28	43	34
PF3D7_1411500	Pf3D7_14_v3	468976	472016	+	3041	118	102	98	106
PF3D7_0214600	Pf3D7_02_v3	594196	599340	+	5145	24	4	39	13
PF3D7_1232500	Pf3D7_12_v3	1339845	1343314	-	3470	13	3	36	3
PF3D7_1217400	Pf3D7_12_v3	686307	688871	-	2565	136	150	298	504
PF3D7_1213500	Pf3D7_12_v3	583089	585323	+	2235	21	2	11	9
PF3D7_1229900	Pf3D7_12_v3	1228063	1233005	-	4943	62	23	42	25
PF3D7_0913400	Pf3D7_09_v3	580760	581468	-	709	37	11	27	24
PF3D7_0527800	Pf3D7_05_v3	1151227	1151309	-	83	0	0	0	0
PF3D7_0107900	Pf3D7_01_v3	326397	327224	-	828	69	44	40	54
PF3D7_1439200	Pf3D7_14_v3	1588952	1593131	+	4180	54	42	63	44
PF3D7_0934300	Pf3D7_09_v3	1348022	1348459	+	438	27	2	8	3
PF3D7_0203200	Pf3D7_02_v3	158137	159660	-	1524	24	47	42	54
PF3D7_0616100	Pf3D7_06_v3	672119	672754	+	636	22	11	21	20
PF3D7_1109700	Pf3D7_11_v3	392510	392712	-	203	0	0	0	0
PF3D7_0805000	Pf3D7_08_v3	283066	284522	-	1457	7	0	8	6
PF3D7_1465200	Pf3D7_14_v3	2640872	2642002	-	1131	196	130	141	180
PF3D7_1027100	Pf3D7_10_v3	1133838	1136156	-	2319	355	418	369	407
PF3D7_0514900	Pf3D7_05_v3	618629	619945	+	1317	63	86	88	100
PF3D7_1408700	Pf3D7_14_v3	324754	346468	-	21715	413	437	435	396
PF3D7_1142500	Pf3D7_11_v3	1705696	1706573	-	878	1192	497	686	610
PF3D7_1121800	Pf3D7_11_v3	823239	829313	-	6075	2	5	6	10
PF3D7_1245000	Pf3D7_12_v3	1880036	1881406	-	1371	3	0	5	2
PF3D7_1203600	Pf3D7_12_v3	184914	185768	+	855	22	9	15	12
PF3D7_0415700	Pf3D7_04_v3	691131	692516	-	1386	4	1	7	2
PF3D7_0609500	Pf3D7_06_v3	402722	407242	+	4521	3	9	11	16
PF3D7_1135900	Pf3D7_11_v3	1398486	1400601	-	2116	172	66	161	84
PF3D7_0105000	Pf3D7_01_v3	218894	219223	-	330	7	22	13	28
PF3D7_1316800	Pf3D7_13_v3	698218	699922	-	1705	167	101	122	77
PF3D7_0717500	Pf3D7_07_v3	755763	757696	+	1934	223	178	381	352
PF3D7_0928400	Pf3D7_09_v3	1145364	1146038	+	675	102	82	105	88
PF3D7_1369300	Pf3D7_13_v3	2756529	2757997	-	1469	6	4	22	15
PF3D7_1031900	Pf3D7_10_v3	1284588	1287287	-	2700	29	3	7	10
PF3D7_0529200	Pf3D7_05_v3	1192973	1195332	+	2360	37	6	15	15
PF3D7_1405100	Pf3D7_14_v3	175503	179705	-	4203	137	101	69	132
PF3D7_1134700	Pf3D7_11_v3	1359364	1364113	-	4750	774	841	725	906
PF3D7_1442100	Pf3D7_14_v3	1706520	1707512	-	993	90	12	34	25
PF3D7_1142700	Pf3D7_11_v3	1710325	1712172	-	1848	176	216	118	195
PF3D7_1350000	Pf3D7_13_v3	2003332	2005134	-	1803	5	2	11	5
PF3D7_1111600	Pf3D7_11_v3	448912	451698	+	2787	9	3	11	8
PF3D7_1012800	Pf3D7_10_v3	492550	495144	+	2595	5	3	13	23
PF3D7_0409500	Pf3D7_04_v3	449189	450633	-	1445	79	6	29	5
PF3D7_0218500	Pf3D7_02_v3	752966	753439	+	474	160	84	95	106
PF3D7_0720900	Pf3D7_07_v3	901549	902787	+	1239	81	8	23	10
